ordem_item;categoria;nome_item;nivel;rotulo_original;preco_bruto_centavos;preco_reais;desativado_na_fonte;source_id;json_pointer;status_revisao;observacoes_ike
155;Cerveja;Baden Baden Pilsen Cristal;opcao;[sem rotulo];3400;34,00;false;6a2d78515f1b7fe38c88dc33;/body/2/menus/8/menuItems/0/options/0;PENDENTE;
156;Cerveja;Blue Moon Long Neck;opcao;[sem rotulo];3300;33,00;false;6a2d787ffcab3a0b4af10bd6;/body/2/menus/8/menuItems/1/options/0;PENDENTE;
157;Cerveja;Heineken 0.0 Long Neck;opcao;[sem rotulo];2200;22,00;false;6a49528c6ae208b30e6f1117;/body/2/menus/8/menuItems/2/options/0;PENDENTE;
158;Cerveja;Heineken Long Neck;opcao;[sem rotulo];2200;22,00;false;6a4952a16ae208b30e6f178f;/body/2/menus/8/menuItems/3/options/0;PENDENTE;
159;Cerveja;Heineken ultimate;opcao;330ml;2400;24,00;false;6aa82cbb6cef5a2b8d29cf08;/body/2/menus/8/menuItems/4/options/0;PENDENTE;
160;Cerveja;Eisenbahn American IPA;opcao;355ml;2500;25,00;false;6aa837e69fd0e319103028fc;/body/2/menus/8/menuItems/5/options/0;PENDENTE;
160;Cerveja;Eisenbahn American IPA;opcao;[sem rotulo];0;0,00;false;6aa837e69fd0e319103028fd;/body/2/menus/8/menuItems/5/options/1;PENDENTE;
161;Chopp;Chopp Heineken;opcao;[sem rotulo];1800;18,00;false;652846284790f4005b2a2f33;/body/2/menus/9/menuItems/0/options/0;PENDENTE;
162;Chopp;Chopp Lagunitas Ipa;opcao;[sem rotulo];2800;28,00;false;6a71fe9e5464deb1edab1d4a;/body/2/menus/9/menuItems/1/options/0;PENDENTE;
163;Licor;Baileys;opcao;[sem rotulo];3600;36,00;false;63223ee9f1c52a0011d09634;/body/2/menus/10/menuItems/0/options/0;PENDENTE;
164;Licor;Ballena;opcao;[sem rotulo];3800;38,00;false;698e12b71909443c7218391f;/body/2/menus/10/menuItems/1/options/0;PENDENTE;
165;Licor;Cointreau;opcao;[sem rotulo];3600;36,00;false;63223ed6eb697100209363a8;/body/2/menus/10/menuItems/2/options/0;PENDENTE;
166;Licor;Drambuie;opcao;[sem rotulo];3800;38,00;false;633f4b5186c783004af77504;/body/2/menus/10/menuItems/3/options/0;PENDENTE;
167;Licor;Heering;opcao;[sem rotulo];4200;42,00;false;6a2d79b95f1b7fe38c88fe58;/body/2/menus/10/menuItems/4/options/0;PENDENTE;
168;Licor;Jägermeister;opcao;[sem rotulo];3600;36,00;false;6389fa1716a302004ae877ee;/body/2/menus/10/menuItems/5/options/0;PENDENTE;
169;Licor;Licor 43;opcao;[sem rotulo];4200;42,00;false;659068af769ef000722aea8d;/body/2/menus/10/menuItems/6/options/0;PENDENTE;
170;Licor;Limoncello;opcao;[sem rotulo];3600;36,00;false;633f4bb1274224004a62605c;/body/2/menus/10/menuItems/7/options/0;PENDENTE;
171;Licor;Ballena caramelo;opcao;[sem rotulo];3800;38,00;false;698e13711909443c72185cae;/body/2/menus/10/menuItems/8/options/0;PENDENTE;
172;Licor;Ballena Coco;opcao;[sem rotulo];3800;38,00;false;698e13471909443c7218556f;/body/2/menus/10/menuItems/9/options/0;PENDENTE;
173;Chás e Cafés;Espresso;opcao;[sem rotulo];1200;12,00;false;6a3dc9988a2963c1be362015;/body/2/menus/11/menuItems/0/options/0;PENDENTE;
174;Chás e Cafés;Macchiato;opcao;[sem rotulo];1600;16,00;false;6a3eb2d955ae1f96c97875cf;/body/2/menus/11/menuItems/1/options/0;PENDENTE;
175;Chás e Cafés;Chá De Hortelã;opcao;[sem rotulo];1000;10,00;false;6310d1b1f4b2900020297cdf;/body/2/menus/11/menuItems/2/options/0;PENDENTE;
176;Chás e Cafés;Chá de Capim Limão;opcao;[sem rotulo];1000;10,00;false;645bf3f856f185005ad6cb17;/body/2/menus/11/menuItems/3/options/0;PENDENTE;
177;Scotch Whisky;Dewar's 12 Anos;opcao;[sem rotulo];5200;52,00;false;66561dcc1ba846034d24d51a;/body/2/menus/12/menuItems/0/options/0;PENDENTE;
178;Scotch Whisky;Dewar's 15 Anos;opcao;[sem rotulo];6200;62,00;false;66561da93e035f0cdf20ab78;/body/2/menus/12/menuItems/1/options/0;PENDENTE;
179;Scotch Whisky;Chivas 12;opcao;[sem rotulo];5000;50,00;false;6a49566d6ae208b30e6fd10d;/body/2/menus/12/menuItems/2/options/0;PENDENTE;
180;Scotch Whisky;Black Label;opcao;[sem rotulo];5200;52,00;false;6304e44a90426500119049c0;/body/2/menus/12/menuItems/3/options/0;PENDENTE;
181;Scotch Whisky;Gold Label;opcao;[sem rotulo];6800;68,00;false;63405757d03b15004acf08f3;/body/2/menus/12/menuItems/4/options/0;PENDENTE;
182;Scotch Whisky;Chivas 18 anos;opcao;[sem rotulo];9800;98,00;false;6389fdfc0795e7004a104e63;/body/2/menus/12/menuItems/5/options/0;PENDENTE;
183;Scotch Whisky;Blue Label;opcao;[sem rotulo];19800;198,00;false;6304e4a7773fd50011566876;/body/2/menus/12/menuItems/6/options/0;PENDENTE;
184;Irish Whiskey;Jameson;opcao;[sem rotulo];4500;45,00;false;6304e51fcfc5af0012c24893;/body/2/menus/13/menuItems/0/options/0;PENDENTE;
185;Bourbon Whisky;Jack Daniels;opcao;[sem rotulo];4500;45,00;false;6304e59b6e7cb60011950f07;/body/2/menus/14/menuItems/0/options/0;PENDENTE;
186;Bourbon Whisky;Maker's Mark;opcao;[sem rotulo];5200;52,00;false;64e167983e07a40053650ee4;/body/2/menus/14/menuItems/1/options/0;PENDENTE;
187;Bourbon Whisky;Jim Beam Black;opcao;[sem rotulo];5200;52,00;false;6304e5cd1b684f0011d0b709;/body/2/menus/14/menuItems/2/options/0;PENDENTE;
188;Bourbon Whisky;Bulleit Bourbon Whisky;opcao;[sem rotulo];6200;62,00;false;641e269a9c155f005c2792e7;/body/2/menus/14/menuItems/3/options/0;PENDENTE;
189;Bourbon Whisky;Gentleman Jack;opcao;[sem rotulo];6800;68,00;false;6322408cf1c52a0011d096eb;/body/2/menus/14/menuItems/4/options/0;PENDENTE;
190;Single Malt Whisky;Glenlivet Founder's Reserve;opcao;[sem rotulo];7800;78,00;false;634067998c0bf2004af08735;/body/2/menus/15/menuItems/0/options/0;PENDENTE;
191;Single Malt Whisky;Glenlivet 15 Anos;opcao;[sem rotulo];9800;98,00;false;634067488c0bf2004af0872e;/body/2/menus/15/menuItems/1/options/0;PENDENTE;
192;Single Malt Whisky;Glenlivet 18 Anos;opcao;[sem rotulo];14800;148,00;false;632240a6f1c52a0011d096ec;/body/2/menus/15/menuItems/2/options/0;PENDENTE;
193;Single Malt Whisky;Macallan 15 Anos;opcao;[sem rotulo];45700;457,00;false;67476820973ffde0903137bb;/body/2/menus/15/menuItems/3/options/0;PENDENTE;
194;Single Malt Whisky;Macallan 18 Anos;opcao;[sem rotulo];68000;680,00;false;67182680cd84ed5551094a7f;/body/2/menus/15/menuItems/4/options/0;PENDENTE;
195;Whisky Japonese;The chita single grain;opcao;[sem rotulo];13200;132,00;false;6718288fcd84ed555109d5b5;/body/2/menus/16/menuItems/0/options/0;PENDENTE;
196;Whisky Japonese;The hakushu single malt;opcao;[sem rotulo];23300;233,00;false;671828d4cd84ed555109edb2;/body/2/menus/16/menuItems/1/options/0;PENDENTE;
197;Whisky Japonese;The yamazaki single malt;opcao;[sem rotulo];25500;255,00;false;67182907cd84ed555109fdc3;/body/2/menus/16/menuItems/2/options/0;PENDENTE;
198;Whisky Japonese;Hibiki suntory;opcao;[sem rotulo];17700;177,00;false;67182941cd84ed55510a0eae;/body/2/menus/16/menuItems/3/options/0;PENDENTE;
199;Cognac & Brandy;Hennessy Vsop;opcao;[sem rotulo];16800;168,00;false;6656196d3e035f0cdf2057b4;/body/2/menus/17/menuItems/0/options/0;PENDENTE;
200;Rum & Cachaça;Anísio Santiago;opcao;[sem rotulo];9900;99,00;false;6a2d7aa9fcab3a0b4af14447;/body/2/menus/18/menuItems/0/options/0;PENDENTE;
201;Rum & Cachaça;Appleton Estate;opcao;[sem rotulo];6800;68,00;false;665616e11ba846034d243eda;/body/2/menus/18/menuItems/1/options/0;PENDENTE;
202;Rum & Cachaça;Espírito De Minas;opcao;[sem rotulo];4600;46,00;false;65811d3dc250560072d697f2;/body/2/menus/18/menuItems/2/options/0;PENDENTE;
203;Rum & Cachaça;Famigerada;opcao;[sem rotulo];3600;36,00;false;665618d01ba846034d2460fa;/body/2/menus/18/menuItems/3/options/0;PENDENTE;
204;Rum & Cachaça;Havana 3 Anos;opcao;[sem rotulo];3800;38,00;false;6304eaeb773fd50011566949;/body/2/menus/18/menuItems/4/options/0;PENDENTE;
205;Rum & Cachaça;Havana 7 Anos;opcao;[sem rotulo];6800;68,00;false;6304ead9773fd5001156693a;/body/2/menus/18/menuItems/5/options/0;PENDENTE;
206;Tequila;Clase Azul Tequila;opcao;[sem rotulo];500000;5000,00;false;6748b46a973ffde09077f434;/body/2/menus/19/menuItems/0/options/0;PENDENTE;
207;Tequila;Don Julio Blanca;opcao;[sem rotulo];9800;98,00;false;6748b346973ffde09077cf82;/body/2/menus/19/menuItems/1/options/0;PENDENTE;
208;Champagnes;Veuve Clicquot Brut;opcao;[sem rotulo];99000;990,00;false;6a49532e6ae208b30e6f33f3;/body/3/menus/0/menuItems/0/options/0;PENDENTE;
209;Champagnes;Pol Roger;opcao;[sem rotulo];150000;1500,00;false;68e7c8b575a10b7f7e2379db;/body/3/menus/0/menuItems/1/options/0;PENDENTE;
210;Champagnes;Louis Roederer Cristal;opcao;[sem rotulo];740000;7400,00;false;6a4953aa6ae208b30e6f5205;/body/3/menus/0/menuItems/2/options/0;PENDENTE;
211;Champagnes;Dom Pérignon Vintage;opcao;[sem rotulo];390000;3900,00;false;6a9c819e15a8adbc6599f94f;/body/3/menus/0/menuItems/3/options/0;PENDENTE;
212;Espumante;Vallontano Lh Zanini Extra Brut;opcao;[sem rotulo];38000;380,00;false;672fd432eae94ac362137252;/body/3/menus/1/menuItems/0/options/0;PENDENTE;
213;Espumante;Blanc Des Blancs Comte d'Ormont Brut;opcao;[sem rotulo];26500;265,00;false;68e7cd5c75a10b7f7e2470a9;/body/3/menus/1/menuItems/1/options/0;PENDENTE;
214;Vinho Branco;Santa Magdalena Reserva Chardonnay;opcao;[sem rotulo];21000;210,00;false;6a287cd3b06eb265391a0d47;/body/3/menus/2/menuItems/0/options/0;PENDENTE;
215;Vinho Branco;Catena Zapata Chardonay;opcao;[sem rotulo];34000;340,00;false;679eb6cce6e597f93eedd714;/body/3/menus/2/menuItems/1/options/0;PENDENTE;
216;Vinho Branco;Los vascos sauvignon blanc;opcao;[sem rotulo];21500;215,00;false;67c4aecd3da266f1f8f6ef55;/body/3/menus/2/menuItems/2/options/0;PENDENTE;
217;Vinho Branco;Pinot Grigio Delle Venezie DOC;opcao;[sem rotulo];24500;245,00;false;6a065e805f9daf275b8b3e11;/body/3/menus/2/menuItems/3/options/0;PENDENTE;
218;Vinho Branco;Joseph Drouhin Chadonnay;opcao;[sem rotulo];72000;720,00;false;682f8fdcacba6866d679e6b7;/body/3/menus/2/menuItems/4/options/0;PENDENTE;
219;Vinho Branco;Chablis Cuvee Tete D'or;opcao;[sem rotulo];120000;1200,00;false;680c0dcc4f14e9b18eac355f;/body/3/menus/2/menuItems/5/options/0;PENDENTE;
220;Vinho Branco;Uxmal chardonnay;opcao;[sem rotulo];19000;190,00;false;679019c0ec7376f2ea5d17f0;/body/3/menus/2/menuItems/6/options/0;PENDENTE;
221;Vinho Branco;Guy Saget Sancerre;opcao;[sem rotulo];95000;950,00;false;672fd98daf94e8de93d41260;/body/3/menus/2/menuItems/7/options/0;PENDENTE;
222;Vinho Branco;Luis Pato Maria Gomes;opcao;[sem rotulo];24000;240,00;false;679019f2c87ca3e63939231a;/body/3/menus/2/menuItems/8/options/0;PENDENTE;
223;Vinho Branco;Alamos Torrontés;opcao;[sem rotulo];22500;225,00;false;68c494d33276e01a5005619d;/body/3/menus/2/menuItems/9/options/0;PENDENTE;
224;Vinho Branco;Gaierhof Doc;opcao;[sem rotulo];26500;265,00;false;6a9c82e615a8adbc659a41d2;/body/3/menus/2/menuItems/10/options/0;PENDENTE;
225;Vinho Branco;Studio by Miraval IGP Mediterranee;opcao;[sem rotulo];50000;500,00;false;6aa04bdb9e04a5c5b2866514;/body/3/menus/2/menuItems/11/options/0;PENDENTE;
226;Vinho Rose;Chiaretto di Bardolino;opcao;[sem rotulo];22000;220,00;false;67901a0dec7376f2ea5d3538;/body/3/menus/3/menuItems/0/options/0;PENDENTE;
227;Vinho Rose;Bayanegra Rosé;opcao;[sem rotulo];20000;200,00;false;6a88934adc1e72be988de244;/body/3/menus/3/menuItems/1/options/0;PENDENTE;
228;Vinho Rose;La Petite Perriere;opcao;[sem rotulo];30000;300,00;false;672fe42beae94ac36222cc25;/body/3/menus/3/menuItems/2/options/0;PENDENTE;
229;Vinho Rose;Altano douro;opcao;[sem rotulo];36000;360,00;false;672fe5b068b30ad9b7b6cd58;/body/3/menus/3/menuItems/3/options/0;PENDENTE;
230;Vinho Rose;Miraval rosé;opcao;[sem rotulo];85000;850,00;false;672fe6e7eae94ac362260cb8;/body/3/menus/3/menuItems/4/options/0;PENDENTE;
231;Vinho Rose;Kabbalah Rose;opcao;[sem rotulo];18900;189,00;false;69e280812b689af348d5e089;/body/3/menus/3/menuItems/5/options/0;PENDENTE;
232;Vinho Rose;Los Vascos Rosé;opcao;[sem rotulo];21500;215,00;false;6a87974de740a15c2cd1ea3e;/body/3/menus/3/menuItems/6/options/0;PENDENTE;
233;Vinho Tinto;Chacayes;opcao;[sem rotulo];169000;1690,00;false;69165cc80646836ffcdb981c;/body/3/menus/4/menuItems/0/options/0;PENDENTE;
234;Vinho Tinto;Château Petit Boyer;opcao;[sem rotulo];22000;220,00;false;68c4949d36bd68f44e7c3b13;/body/3/menus/4/menuItems/1/options/0;PENDENTE;
235;Vinho Tinto;Santa Magdalena Reserva Cabernet Sauvignon 2024;opcao;[sem rotulo];18000;180,00;false;690541ac00b5c9a186f5c2e4;/body/3/menus/4/menuItems/2/options/0;PENDENTE;
