ordem_item;restaurant_id;source_product_id;categoria;produto;source_step_id;etapa;descricao_etapa;tipo_etapa;etapa_obrigatoria;quantidade_minima_etapa;quantidade_etapa;source_component_id;source_variant_id;nome_variante_componente;descricao;preco_reais;preco_bruto_api;tratamento_preco;ativo_na_fonte;quantidade_maxima_componente;source_file;json_pointer;status_revisao;observacoes_ike
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74788;94600;Arroz Oswaldo Aranha;Arroz branco salteado na manteiga com farinha mandioca, couve picada, proteína de soja e banana da terra.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/1;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74789;94601;Arroz Caldoso;Arroz branco salteado na manteiga com costela defumada, pimentões e tomate, finalizados com molho de carne.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/2;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74790;94602;Aligot de Batata;Purê aveludado de batata, com blend de queijos, consistência elástica e cremosa.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/3;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74791;94603;Salada de Batata Morna;Cubos de batata rústica envolvidos em uma maionese le limão com toque de mostarda djon, finalizada com bacon, picles e ovos cozidos.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/4;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74792;94604;Creme de Milho Tostado;Releitura do clássico acompanhamento da cozinha brasileira: Grão de milho tostado na grelha, servido com creme de leite fresco.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/5;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74795;94607;Batata Frita;Batata palito tradicional.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/6;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74796;94608;Farofa de Ovo;Tradicional farofa brasileira, preparada com farinha de mandioca e ovos caipiras.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/7;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74797;94609;Farofa de Limão;Acompanhamento comteporaneo e refrescante, farinha de milho hidratada no limão, com cenoura ralada, raspas de limão siciliano e salsinha fresca.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/8;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74798;94610;Legumes Grelhados;Mix de legumes selecionados do dia, grelhados na parrila.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/9;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74799;94611;Palmito Pupunha;Palmito gralhado na brasa, finalizado com manteiga de ervas e flor de sal.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/10;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74800;94612;Shitake na Manteiga;Cogumelo fresco fatiado e grelhado na brasa, desglaçados com molho shoyu, molho de ostras e manteiga.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/11;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74801;94613;Massa do Dia;consultar o Garçon;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/12;PENDENTE;
57;freneze;93935;Bebidas > Softs;Suco de Uva;19205;Volume;;unica;true;1;1;74459;93934;Suco de Uva - 300ml;;24,00;24.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/1/body/product/product_composite_steps/0/complements/0;PENDENTE;
123;freneze;93989;Adega > Espumante & Champagnes;Vallontano Brut;19206;Volume;;unica;true;1;1;74460;93988;Vallontano Brut - 750ml;;243,00;243.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/2/body/product/product_composite_steps/0/complements/0;PENDENTE;
124;freneze;93991;Adega > Espumante & Champagnes;Vallontano Rosé Brut;19207;Volume;;unica;true;1;1;74461;93990;Vallontano Rosé Brut - 750ml;;233,00;233.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/3/body/product/product_composite_steps/0/complements/0;PENDENTE;
125;freneze;93993;Adega > Espumante & Champagnes;Zanini LH Nature;19208;Volume;;unica;true;1;1;74462;93992;Zanini LH Nature - 750ml;;330,00;330.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/4/body/product/product_composite_steps/0/complements/0;PENDENTE;
126;freneze;93995;Adega > Espumante & Champagnes;Cabert Prosecco Extra Dry D.O.C.;19209;Volume;;unica;true;1;1;74463;93994;Cabert Prosecco Extra Dry D.O.C. - 750ml;;299,00;299.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/5/body/product/product_composite_steps/0/complements/0;PENDENTE;
127;freneze;93997;Adega > Espumante & Champagnes;Ca' Del Bosco Franciacorta Cuvee Prestige Brut;19210;Volume;;unica;true;1;1;74464;93996;Ca' Del Bosco Franciacorta Cuvee Prestige Brut - 750ml;;1316,00;1316.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/6/body/product/product_composite_steps/0/complements/0;PENDENTE;
128;freneze;93999;Adega > Espumante & Champagnes;Louis Roederer Collection (1624);19211;Volume;;unica;true;1;1;74465;93998;Louis Roederer Collection (1624) - 750ml;;999,00;999.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/7/body/product/product_composite_steps/0/complements/0;PENDENTE;
129;freneze;94005;Adega > Espumante & Champagnes;Champagne Cristal Brut Louis Roederer;19214;Volume;;unica;true;1;1;74468;94004;Champagne Cristal Brut Louis Roederer - 750ml;;7145,00;7145.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/8/body/product/product_composite_steps/0/complements/0;PENDENTE;
130;freneze;94007;Adega > Espumante & Champagnes;Bollinger Special Cuvée;19215;Volume;;unica;true;1;1;74469;94006;Bollinger Special Cuvée - 750ml;;1966,00;1966.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/9/body/product/product_composite_steps/0/complements/0;PENDENTE;
131;freneze;94009;Adega > Espumante & Champagnes;Cremant pierre ponnelle brut;19216;Volume;;unica;true;1;1;74470;94008;Cremant pierre ponnelle brut - 750ml;;324,00;324.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/10/body/product/product_composite_steps/0/complements/0;PENDENTE;
132;freneze;94011;Adega > Espumante & Champagnes;Luis Pato Espumante Bruto Baga;19217;Volume;;unica;true;1;1;74471;94010;Luis Pato Espumante Bruto Baga - 750ml;;795,00;795.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/11/body/product/product_composite_steps/0/complements/0;PENDENTE;
133;freneze;94013;Adega > Espumante & Champagnes;Chablis;19218;Volume;;unica;true;1;1;74472;94012;Chablis - 750ml;;485,00;485.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/12/body/product/product_composite_steps/0/complements/0;PENDENTE;
134;freneze;94019;Adega > Vinhos Brancos;Roero Tistin Arneis;19221;Volume;;unica;true;1;1;74475;94018;Roero Tistin Arneis - 750ml;;554,00;554.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/13/body/product/product_composite_steps/0/complements/0;PENDENTE;
135;freneze;94021;Adega > Vinhos Brancos;Marani IGT;19222;Volume;;unica;true;1;1;74476;94020;Marani IGT - 750ml;;310,00;310.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/14/body/product/product_composite_steps/0/complements/0;PENDENTE;
136;freneze;94023;Adega > Vinhos Brancos;Fontaleoni Vernaccia di San Gimignano;19223;Volume;;unica;true;1;1;74477;94022;Fontaleoni Vernaccia di San Gimignano - 750ml;;434,00;434.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/15/body/product/product_composite_steps/0/complements/0;PENDENTE;
137;freneze;94025;Adega > Vinhos Brancos;Guerriero Bianco IGT;19224;Volume;;unica;true;1;1;74478;94024;Guerriero Bianco IGT - 750ml;;293,00;293.00;COBRADO_NA_FONTE;1;;raw_detalhes.json;/responses/16/body/product/product_composite_steps/0/complements/0;PENDENTE;
