ordem;restaurant_id;categoria;caminho_categorias;source_category_ids;source_id;tipo_original;nome;descricao;preco_direto_centavos;preco_fonte_centavos;preco_fonte_reais;origem_preco;preco_json_pointer;json_pointer;opcoes;sinalizacoes;estado_fonte;status_revisao_humana;observacoes_ike
47;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1b54308a9fdefff6e00d;pantry;Dry Martini ;;5800;5800;58,00;price direto;/1/menus/4/menuItems/4/price;/1/menus/4/menuItems/4;[sem rotulo]: R$ 58,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
48;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1b61308a9fdefff6e0aa;pantry;Fitzgerald;;5800;5800;58,00;price direto;/1/menus/4/menuItems/5/price;/1/menus/4/menuItems/5;[sem rotulo]: R$ 58,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
49;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1b6d308a9fdefff6e1be;pantry;Penicillin;;6200;6200;62,00;price direto;/1/menus/4/menuItems/6/price;/1/menus/4/menuItems/6;[sem rotulo]: R$ 62,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
50;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1b3a308a9fdefff6ddc3;pantry;Whisky Sour;;5400;5400;54,00;price direto;/1/menus/4/menuItems/7/price;/1/menus/4/menuItems/7;[sem rotulo]: R$ 54,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
51;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1b1a308a9fdefff6da8f;pantry;Cosmopolitan;;5600;5600;56,00;price direto;/1/menus/4/menuItems/8/price;/1/menus/4/menuItems/8;[sem rotulo]: R$ 56,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
52;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1b2c308a9fdefff6dc9b;pantry;Espresso Martini;;5600;5600;56,00;price direto;/1/menus/4/menuItems/9/price;/1/menus/4/menuItems/9;[sem rotulo]: R$ 56,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
53;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1b0c308a9fdefff6d9c1;pantry;Margarita;;5800;5800;58,00;price direto;/1/menus/4/menuItems/10/price;/1/menus/4/menuItems/10;[sem rotulo]: R$ 58,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
54;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;69245eb16c464a20549b686a;pantry;Gin & Tônica;;5200;5200;52,00;price direto;/1/menus/4/menuItems/11/price;/1/menus/4/menuItems/11;[sem rotulo]: R$ 52,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
55;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;69245ecc6c464a20549b6af6;pantry;Carajillo;;5400;5400;54,00;price direto;/1/menus/4/menuItems/12/price;/1/menus/4/menuItems/12;[sem rotulo]: R$ 54,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
56;madonna_cucina;| Clássicos Brasileiro;Bar > | Clássicos Brasileiro;691b1921308a9fdefff6b49e > 69245ef96c464a20549b76dc;69245fd66c464a20549b99e7;pantry;Macunaima;Cachaça Princesa Isabel Amburana, fernet branca, açúcar e limão;5200;5200;52,00;price direto;/1/menus/5/menuItems/0/price;/1/menus/5/menuItems/0;[sem rotulo]: R$ 52,00;;FONTE_VERIFICADA;PENDENTE;
57;madonna_cucina;| Clássicos Brasileiro;Bar > | Clássicos Brasileiro;691b1921308a9fdefff6b49e > 69245ef96c464a20549b76dc;69245ff26c464a20549ba395;pantry;Rabo de Galo;Cachaça branca e vermute tinto;5200;5200;52,00;price direto;/1/menus/5/menuItems/1/price;/1/menus/5/menuItems/1;[sem rotulo]: R$ 52,00;;FONTE_VERIFICADA;PENDENTE;
58;madonna_cucina;| Mocktails;Bar > | Mocktails;691b1921308a9fdefff6b49e > 691b1b7b308a9fdefff6e357;691b1b8d308a9fdefff6e45f;pantry;Bellini Bianco;Purê de pêssego Monin · Espumante zero álcool;3600;3600;36,00;price direto;/1/menus/6/menuItems/0/price;/1/menus/6/menuItems/0;[sem rotulo]: R$ 36,00;;FONTE_VERIFICADA;PENDENTE;
59;madonna_cucina;| Mocktails;Bar > | Mocktails;691b1921308a9fdefff6b49e > 691b1b7b308a9fdefff6e357;691b1bcc308a9fdefff6eb4d;pantry;Acqua Verde;Xarope de pepino · Extrato de gengibre · Limão-siciliano · Água com gás;3400;3400;34,00;price direto;/1/menus/6/menuItems/1/price;/1/menus/6/menuItems/1;[sem rotulo]: R$ 34,00;;FONTE_VERIFICADA;PENDENTE;
60;madonna_cucina;Cervejas;Bar > Cervejas;691b1921308a9fdefff6b49e > 69259aa343da3d05216a9db9;691b1d25308a9fdefff70cd2;pantry;Birra Moretti;;6600;6600;66,00;price direto;/1/menus/7/menuItems/0/price;/1/menus/7/menuItems/0;[sem rotulo]: R$ 66,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
61;madonna_cucina;| Softs;Bar > | Softs;691b1921308a9fdefff6b49e > 691b1be0308a9fdefff6edfd;691b1d08308a9fdefff70906;pantry;Água Sem Gás;;1200;1200;12,00;price direto;/1/menus/8/menuItems/0/price;/1/menus/8/menuItems/0;[sem rotulo]: R$ 12,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
62;madonna_cucina;| Softs;Bar > | Softs;691b1921308a9fdefff6b49e > 691b1be0308a9fdefff6edfd;691b1ce3308a9fdefff70541;pantry;Água com Gás;;1200;1200;12,00;price direto;/1/menus/8/menuItems/1/price;/1/menus/8/menuItems/1;[sem rotulo]: R$ 12,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
63;madonna_cucina;| Softs;Bar > | Softs;691b1921308a9fdefff6b49e > 691b1be0308a9fdefff6edfd;691b1d17308a9fdefff709f1;pantry;Aqua Panna;;3600;3600;36,00;price direto;/1/menus/8/menuItems/2/price;/1/menus/8/menuItems/2;[sem rotulo]: R$ 36,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
64;madonna_cucina;| Softs;Bar > | Softs;691b1921308a9fdefff6b49e > 691b1be0308a9fdefff6edfd;691b1c09308a9fdefff6f3f7;pantry;San Pellegrino;;3600;3600;36,00;price direto;/1/menus/8/menuItems/3/price;/1/menus/8/menuItems/3;[sem rotulo]: R$ 36,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
65;madonna_cucina;| Softs;Bar > | Softs;691b1921308a9fdefff6b49e > 691b1be0308a9fdefff6edfd;691b1d42308a9fdefff70fa2;pantry;Coca-Cola;;1200;1200;12,00;price direto;/1/menus/8/menuItems/4/price;/1/menus/8/menuItems/4;KS: R$ 12,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
66;madonna_cucina;| Softs;Bar > | Softs;691b1921308a9fdefff6b49e > 691b1be0308a9fdefff6edfd;691b1d4e308a9fdefff710b5;pantry;Coca-Cola Zero ;;1200;1200;12,00;price direto;/1/menus/8/menuItems/5/price;/1/menus/8/menuItems/5;KS: R$ 12,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
67;madonna_cucina;| Softs;Bar > | Softs;691b1921308a9fdefff6b49e > 691b1be0308a9fdefff6edfd;691b1bf2308a9fdefff6f0c6;pantry;Suco de Uva Tinta Vila Pina;;2600;2600;26,00;price direto;/1/menus/8/menuItems/6/price;/1/menus/8/menuItems/6;[sem rotulo]: R$ 26,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
68;madonna_cucina;| Doses | Whisky;Bar > | Doses | Whisky;691b1921308a9fdefff6b49e > 691b1d5d308a9fdefff711f7;691b1dae308a9fdefff71978;pantry;Chivas 12 anos;;5200;5200;52,00;price direto;/1/menus/9/menuItems/0/price;/1/menus/9/menuItems/0;[sem rotulo]: R$ 52,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
69;madonna_cucina;| Doses | Whisky;Bar > | Doses | Whisky;691b1921308a9fdefff6b49e > 691b1d5d308a9fdefff711f7;691b1dbe308a9fdefff71b21;pantry;Chivas 18 anos ;;12800;12800;128,00;price direto;/1/menus/9/menuItems/1/price;/1/menus/9/menuItems/1;[sem rotulo]: R$ 128,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
